"生产日期
Production Date","内部机型
Internal Model","类型
Type","总部
HQ","主板板型
Mainboard model",MODELO+PCB,"组件号
MB part number","总BOM数量
Material QTY","手插件数
Hi material QTY","手插率
Hand insertion rate","芯片方案
Chip Solution",内置TCON,"液晶屏物料号
LCD Part No.","液晶屏型号描述
LCD Description","液晶面板
SKD panel","屏幕厂家
LCD Brand","屏接口类型
LCD interface type",TOOL,TOOL SW,"转接板
Converter",TCON,FFC,"通用远程拾音板
MIC Board","远程拾音线
MIC cable","多合一端子板（非远程拾音）
all-in-one board（non MIC）","多合一端子板连接线
all-in-one board cable",备注/Remarks,配套远程拾音板,WiFi模块,WiFi模块描述,,,
2022/4/7,75A53FUR(0005),REFLOW,HuangDao,11722,75A53FUR(0005)11722,311982,/,/,/,MT9010PAATDA,否,312048,液晶屏\HD750Y1U72-TBL2K2,液晶屏面板\HV750QUB-F91,京东方(BOE),51pin(VB1),4K VB1,,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/4/21,75A62GUA(0010),REFLOW,HuangDao,11493,75A62GUA(0010)11493,309499,/,/,/,MT9612IAATNC,是,308800,液晶屏\HD750Y3U71-T0LA\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,9894,11383,68pin(1250761),304399-远程拾音板组件\RSAG2.908.11789,1258779-条形连接线\GH-14Y-GHX-11Y-770-2XP,,,Add MIC function/增加远场语音功能,,,,,,
2022/4/21,65A66GUA,REFLOW,HuangDao,11493,65A66GUA11493,308187,/,/,/,MT9612IAATNC,是,308420,液晶屏\HD650Y3U51-T0LA\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,9888,11133,68pin(1250761),,,,,,,,,,,
2022/4/28,50A66GUF,REFLOW,HuangDao,TD.MT9020.703 B21015/Hisense TV,50A66GUFTD.MT9020.703 B21015/Hisense TV,CVTE,/,/,/,MT9020IAATWA,是,314808,液晶屏\HD500Y3U53-T0L8\S0\FJ\GM\ROH,液晶屏面板组件\T500QVN04.1\ZFJ\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,9888,10595,68pin(1250761),,,,,,,,,,,
2022/6/16,70A56EUA,REFLOW,HuangDao,11493,70A56EUA11493,311443,/,/,/,MT9612IAATQA,否,312425,液晶屏\HD700X1U91-L1B2\S0\GM\ROH,液晶屏面板\CV700U2-T01\JK\GM\ROH,彩虹光电(CHOT),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/6/16,50A66GUA,REFLOW,HuangDao,11493,50A66GUA11493,319535,/,/,/,MT9612IAATNC,是,319675,液晶屏\HD500Y3U53-T0L8\S1\FJ\GM\ROH,液晶屏面板组件\T500QVN04.1\ZFJ\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,9888,10595,68pin(1250761),"304399
远程拾音板组件\RSAG2.908.11789","1232457
mic Cable P/N \GH-14Y-GHX-11Y-430-2XP\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2022/6/23,32A31FUA(0011),3 IN 1,JiangMen,TP.MT9216T.PB702 E22112/Hisense TV,32A31FUA(0011)TP.MT9216T.PB702 E22112/Hisense TV,CVTE,/,/,/,主控IC\MT9216AAATYB\TP\JK\ROH,是,320374,液晶屏\JHD315Y1F61-TXL4\S0\GM\ROH\广,液晶屏面板\PT320CT01-3\GM\ROH,惠科(HKC),51pin(LVDS),2K LVDS,,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/6/30,75A53FUR(1000),REFLOW,HuangDao,11722,75A53FUR(1000)11722,319033,/,/,/,主控IC\MT9010PAATDA\TP\ROH,否,312048,液晶屏\HD750Y1U72-TBL2K2\S2\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/8/18,43A53FUA(0012),3 IN 1,HuangDao,12366,43A53FUA(0012)12366,315286,600,30,5.00%,主控IC\MT9612IAATQA\TP\JK\ROH,是,282432,液晶屏\HD425Y1U71-T0L2\S0\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,9894,11117,68pin(1250761),,,,,,,,,,,
2022/8/25,55A53FUR(0010),3 IN 1,HuangDao,12376,55A53FUR(0010)12376,321383,686,29,4.23%,主控IC\MT9010PAATDA\TP\ROH,是,301143,液晶屏\HD550Y1U72-T0L2\S1\GM\ROH,液晶屏面板\HV550QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,9894,11117,68pin(1250761),,,,,,,,,,,
2022/9/1,58A66GUF,REFLOW,HuangDao,TD.MT9020.703 B21015/Fire TV,58A66GUFTD.MT9020.703 B21015/Fire TV,CVTE,/,/,/,MT9020IAATWA,否,322294,液晶屏\HD580Y3U92-L8\S0\GM\ROH,液晶屏面板\CV580U1-T01-V02\JK\GM\ROH,彩虹光电(CHOT),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2022/9/22,65A53FUR(0012),REFLOW,HuangDao,11722,65A53FUR(0012)11722,316835,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,325870,液晶屏\HD650Y1U41-T0LBBY\S0\GM\ROH,液晶屏面板\JR645R3HA3L\EC\GM\ROH,夏普(SHARP),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2022/10/6,43A53FUR(0010),3 IN 1,HuangDao,12376,43A53FUR(0010)12376,321386,685,29,4.23%,主控IC\MT9010PAATDA\TP\ROH,是,298152,液晶屏\HD425Y1U51-T0L2\S1\GM\ROH,液晶屏面板\T430QVN03.7\EC\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,,9888,10595,68pin(1250761),,,,,,,,,,,
2022/10/13,65A53FUA(0012),REFLOW,HuangDao,11493,65A53FUA(0012)11493,324451,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,326978, 液晶屏\HD650Y1U41-T0LBBY\S1\GM\ROH,液晶屏面板\JR645R3HA3L\EC\GM\ROH,夏普(SHARP),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2022/12/22,55A53FUA(0013),3 IN 1,HuangDao,12366,55A53FUA(0013)12366,315236,649,30,4.62%,主控IC\MT9612IAATQA\TP\JK\ROH,是,307940,液晶屏\HD550Y1U51-T0L2\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,,,,,,,
2022/12/22,50A53FUA(0013),3 IN 1,HuangDao,12366,50A53FUA(0013)12366,315240,647,30,4.64%,主控IC\MT9612IAATQA\TP\JK\ROH,是,285776,液晶屏\HD500Y1U91-T0L2\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,,11479,/,60pin(267913),,,,,,,,,,,
2022/12/22,43A53FUA(0013),3 IN 1,HuangDao,12366,43A53FUA(0013)12366,315286,648,30,4.63%,主控IC\MT9612IAATQA\TP\JK\ROH,是,282432,液晶屏\HD425Y1U71-T0L2\S0\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,11477,"308380
TCON-ZJ贴片单元\RSAG2.908.11117-09TP\ROH",68pin(1250761),,,,,,,,,,,
2023/1/12,50A53FUR(0010),3 IN 1,HuangDao,11723,50A53FUR(0010)11723,311442,679,29,4.27%,主控IC\MT9010PAATDA\TP\ROH,是,313864,液晶屏\HD500Y1U52-T0L2\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,,11477,"307360
TCON-ZJ贴片单元\RSAG2.908.11133-16TP\ROH",68pin(1250761),,,,,macroluck,,,,,,
2023/2/16,70A51HUR,REFLOW,HuangDao,11722,70A51HUR11722,335503,/,/,/,主控IC\MT9010PAATDA\TP\ROH,否,335703,液晶屏\HD700X1U92-TAL1B2\S2\GM\ROH,液晶屏面板\CV700U2-T01-V04\GM\ROH,彩虹光电(CHOT),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/2/23,65A53FUA(0013),REFLOW,HuangDao,11493,65A53FUA(0013)11493,324451,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,326978,液晶屏\HD650Y1U41-T0LBBY\S1\GM\ROH,液晶屏面板\JR645R3HA3L\EC\GM\ROH,夏普(SHARP),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/3/23,65A53FUA(0018),REFLOW,HuangDao,12881,65A53FUA(0018)12881,335413,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,336552,液晶屏\HD650Y1U51-T0LG\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/3/23,55A53FUA(0018),3 IN 1,HuangDao,12970,55A53FUA(0018)12970,335415,641,30,4.68%,主控IC\MT9612IAATQA\TP\JK\ROH,是,337412,液晶屏\HD550Y1U74-T0LG\S0\GM\ROH,液晶屏面板\HF550QUB-F20\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,macroluck,,,,,,
2023/3/23,50A53FUA(0018),3 IN 1,HuangDao,12970,50A53FUA(0018)12970,335832,640,30,4.69%,主控IC\MT9612IAATQA\TP\JK\ROH,是,336769,液晶屏\HD500Y1U91-T0LG\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,,11479,/,60pin(267913),,,,,macroluck,,,,,,
2023/3/23,43A53FUA(0018),3 IN 1,HuangDao,12970,43A53FUA(0018)12970,335833,643,30,4.67%,主控IC\MT9612IAATQA\TP\JK\ROH,是,336767,液晶屏\HD425Y1U71-T0LG\S0\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,macroluck,,,,,,
2023/3/30,70A51HUA,REFLOW,HuangDao,12881,70A51HUA12881,332022,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,否,331360,液晶屏\HD700X1U92-TAL1B2\S0\GM\ROH,液晶屏面板\CV700U2-T01-V04\GM\ROH,彩虹光电(CHOT),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/4/13,43A51HUV,3 IN 1,HuangDao,12970,43A51HUV12970,332765,642,30,4.67%,主控IC\MT9602RAATAC\TP\JK\ROH,是,294104,液晶屏\HD425Y1U51-T0L2\S0\GM\ROH,液晶屏面板\T430QVN03.7\EC\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,macroluck,,,,,,
2023/4/13,75A53FUA(0018),REFLOW,HuangDao,12881,75A53FUA(0018)12881,335413,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,340757,液晶屏\HD750Y1U72-T0LG\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/4/13,65A51HUR,REFLOW,HuangDao,11722,65A51HUR11722,318059,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,326842,液晶屏\HD650H1U71-T0L1\S0\GM\ROH,液晶屏面板\HV650QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/4/27,65E85GUA,REFLOW,HuangDao,12771/13512,65E85GUA12771/13512,333119,/,/,/,MT9618BAATAB,否,335272,液晶屏\HD650Z6U52-TALGB5\S0\FJ\GM\ROH,液晶屏面板组件\T650QVN07.H\ZFJ\GM\ROH,友达(AUO),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305519
高速信号线\FFC-L-10-KP-590-Z2\590\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/4/27,55E85GUA,REFLOW,HuangDao,12771/13512,55E85GUA12771/13512,334205,/,/,/,MT9618BAATAB,否,336738,液晶屏\HD550Z6U53-TALGB5\S0\FJ\GM\ROH,液晶屏面板组件\T550QVN10.A\ZFJ\GM\ROH,友达(AUO),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305519
高速信号线\FFC-L-10-KP-590-Z2\590\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/4,75E85GUA,REFLOW,HuangDao,12771/13512,75E85GUA12771/13512,333237,/,/,/,MT9618BAATAB,否,335747,液晶屏\HD750Z6U76-TALGB5\S0\FJ\GM\ROH,面板组件\HV750QUB-E91 REV2.0\ZFJ\GM\ROH,京东方(BOE),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1306488
高速信号线\FFC-L-10KP-710-Z2\710\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/4,65A51HUV,REFLOW,HuangDao,12881,65A51HUV12881,332600,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,是,333205,液晶屏\HD650H1U71-T0L1\S1\GM\ROH,液晶屏面板\HV650QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/5/4,55A51HUV,3 IN 1,HuangDao,12970,55A51HUV12970,334545,642,30,4.67%,主控IC\MT9602RAATAC\TP\JK\ROH,是,335726,液晶屏\HD550H1U71-T0L3\S0\GM\ROH,液晶屏面板\HF550QUB-F20\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,macroluck,,,,,,
2023/5/4,55U67KUA,REFLOW,HuangDao,12771/13512,55U67KUA12771/13512,331731,/,/,/,MT9618BAATAB,是,336091,液晶屏\HD550H3U51-T0L2\S0\GM\ROH,液晶屏面板\T550QVN10.8\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305517
高速信号线\FFC-L-10-KP-590-Z2\590\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/4,50A51HUV,3 IN 1,HuangDao,12970,50A51HUV12970,335399,642,30,4.67%,主控IC\MT9602RAATAC\TP\JK\ROH,是,336856,液晶屏\HD500H1U91-T0L2\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,,11479,/,60pin(FB0301004928),,,,,macroluck,,,,,,
2023/5/11,43A35HUR,3 IN 1,JiangMen,13033,43A35HUR13033,334168,769,24,3.12%,主控IC\T950R4-B5\TP\ROH,是,334764,液晶屏\JHD425H1F51-T0\S1\FM\ROH\广,液晶屏面板\T430HVN01.2\JK\FM\ROH,友达(AUO),2*60pin(Mini LVDS),MINI LVDS,Mini08,FHD-60_2_1,/,60pin(267913),,,,,,,,,,,
2023/5/11,65U66KUA,REFLOW,HuangDao,12881,65U66KUA12881,335620,/,/,/,MT9612IAATNC,是,339215,液晶屏\HD650H3U52-T0L6\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305362
高速信号线\FFC-L-10-KP-555-Z2\555\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/11,75U66KUA,REFLOW,HuangDao,12881,75U66KUA12881,340024,/,/,/,MT9612IAATNC,是,339749,液晶屏\HD750H3U72-T0L6K1\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1306488
高速信号线\FFC-L-10KP-710-Z2\710\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/11,75U67KUA,REFLOW,HuangDao,12771/13512,75U67KUA12771/13512,332766,/,/,/,MT9618BAATAB,否,337045,液晶屏\HD750H3U71-TAL2\S0\SM\ROH,液晶屏面板\HV750QUB-E92 Rev2.0\SM\ROH,京东方(BOE),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1306488
高速信号线\FFC-L-10KP-710-Z2\710\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/11,65U67KUA,REFLOW,HuangDao,12771/13512,65U67KUA12771/13512,330982,/,/,/,MT9618BAATAB,是,334027,液晶屏\HD650H3U51-T0L2\S0\GM\ROH,液晶屏面板\T650QVN07.H\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305362 
高速信号线\FFC-L-10-KP-555-Z2\555\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/5/11,55U66KUA,REFLOW,HuangDao,12881,55U66KUA12881,335836,/,/,/,MT9612IAATNC,是,339659,液晶屏\HD550H3U52-T0L6\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1305362 
高速信号线\FFC-L-10-KP-555-Z2\555\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/6/1,65A53FUA(0028),REFLOW,HuangDao,13518,65A53FUA(0028)13518,345234,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,345352,液晶屏\HD650Y1U72-T0LG\S0\SM\ROH,液晶屏面板\HV650QUB-F70\SM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,/,68pin(1250761),,,,,,,,,,,
2023/6/8,75A51HUR,REFLOW,HuangDao,11722,75A51HUR11722,338270,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,338217,液晶屏\HD750Y1U43-TAL2\S0\GM\ROH,液晶屏面板\JR745R3HC5Y\GM\ROH,,51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/6/15,55A53FUA(0014),3 IN 1,HuangDao,12970,55A53FUA(0014)12970,335415,640,30,4.69%,主控IC\MT9612IAATQA\TP\JK\ROH,是,343553,液晶屏\HD550Y1U65-T0L2\S0\SM\ROH,液晶屏面板\PT550GT08-1\SM\ROH,惠科(HKC),1*68pin(PTP),4K VB1,,11477,/,68pin(1250761),,,,,macroluck,,,,,,
2023/7/20,85U63KUA(0007),REFLOW,HuangDao,13512,85U63KUA(0007)13512,345533,/,/,/,MT9618BAATAB,是,346564,液晶屏\HD850H6U51-T0L4K1\S0\SM\ROH,液晶屏面板\T850QVN03.7\JK\SM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"337302
TCON-ZJ贴片单元\RSAG2.908.13222TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1310534 高速信号线\FFC-L-10-KP-820-Z2\820\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/7/20,85U63KUA,REFLOW,HuangDao,13512,85U63KUA13512,346299,/,/,/,MT9618BAATAB,否,343699,液晶屏\HD850H6U51-TAL2K1\S0\SM\ROH,液晶屏面板\T850QVN03.7\JK\SM\ROH,友达(AUO),41pin+51pin(VB1),4K VB1,/,/,"345605
TCON板贴片单元\RSAG2.908.12521-07TP\ROH",41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1310534 高速信号线\FFC-L-10-KP-820-Z2\820\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/7/27,40A35HUA,3 IN 1,JiangMen,TP.MT9216T.PB703 D,40A35HUATP.MT9216T.PB703 D,CVTE,/,/,/,主控IC\MT9216HAATHB\TP\JK\ROH,是,328782,液晶屏\JHD400H1F01-TXL1\S0\FM\ROH\广,液晶屏面板\V400HJ9-PE1-C4\FM\ROH,群创(INX),51pin(LVDS),2K LVDS,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/8/10,50A53FUA(0028),3 IN 1,HuangDao,12970,50A53FUA(0028)12970,335832,639,30,4.69%,主控IC\MT9612IAATQA\TP\JK\ROH,是,336769,液晶屏\HD500Y1U91-T0LG\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(267913),,,,,macroluck,,,,,,
2023/8/10,55A53FUA(0028),3 IN 1,HuangDao,12970,55A53FUA(0028)12970,335415,640,30,4.69%,主控IC\MT9612IAATQA\TP\JK\ROH,是,337412,液晶屏\HD550Y1U74-T0LG\S0\GM\ROH,液晶屏面板\HF550QUB-F20\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"327316
TCON-ZJ贴片单元\RSAG2.908.12804TP\ROH",68pin(1250761),,,,,macroluck,,,,,,
